,Name,Rating,No. of rating,Price,Return and Exchange,Avaialability,Expected Delivery
53,Fastrack Men Square Sunglasses Black Frame Yellow Lens,"3,280 ratings",3.2 out of 5,₹735.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
54,"Lorenz Combo of Black Watch, Wallet and Black Sunglasses for Men",53 ratings,4.1 out of 5,₹575.00,10 Days Returns,In stock.,"Sunday, Oct 24"
55,Polarized Sports Sunglasses Mirror Wrap Around Driving Fishing Men Women,"1,601 ratings",4.1 out of 5,"₹4,619.00",10 Days Returns,In stock.,"Sunday, Oct 24"
56,Davidson Combo of Black Sunglasses and Baseball Cap for Men Women Boys and Girls,6 ratings,3.6 out of 5,"₹1,169.00",10 Days Returns,In stock.,"Tuesday, Oct 26"
57,CREATURE Black and Brown Matt Finish Unisex Sunglasses Combo with UV Protection (Lens-Purple & Brown||Frame-Black/Brown||Doit-001-002),531 ratings,3.8 out of 5,₹703.00,Amazon Delivered,In stock.,"Monday, Oct 25"
58,"Dervin Unisex Adult Rectangular Sunglasses (Blue, Black & Yellow Lens) (Medium) - Pack of 2",116 ratings,4.1 out of 5,"₹8,129.00",10 Days Returns,In stock.,"Thursday, Oct 28"
59,NuVew UV Protected Cat eye Sunglasses For Women - (Color Variants Available | Medium),3 ratings,5 out of 5,₹598.00,10 Days Returns,In stock.,"Sunday, Oct 24"
60,Creature Matt Finish Club master Uv Protected Sunglasses(Doit-006| 53| Frame-Black),8 ratings,3.2 out of 5,"₹1,002.00",10 Days Returns,In stock.,"Monday, Oct 25"
61,Lenskart Stylish Sunglasses | Polarized & UV Protected | For Men & Women | Large | VC S13973,19 ratings,3.9 out of 5,₹448.00,10 Days Returns,Only 3 left in stock.,"Sunday, Oct 24"
62,Fastrack UV Protected Square Men's Sunglasses - (P357BR3|41|Brown),2 ratings,5 out of 5,"₹1,132.00",10 Days Returns,In stock.,"Sunday, Oct 24"
63,Carrera Men's 218/S Square Sunglasses,"1,328 ratings",4.3 out of 5,₹385.00,10 Days Returns,In stock.,"Thursday, Oct 28"
64,grey jack Polarized Sunglasses for Men Women TR90 Frame Big Size S2202,"9,319 ratings",4 out of 5,₹517.00,30 Days Returns & Exchange,Only 3 left in stock.,"Thursday, Oct 28"
65,Fastrack UV Protected Aviator Men's Sunglasses - (M242GR4T|58|Green Color Lens),"2,332 ratings",3.6 out of 5,₹298.00,10 Days Returns,In stock.,"Friday, Oct 29"
66,Carrera Men Phantos Sunglasses,"1,171 ratings",3.4 out of 5,₹229.00,30 Days Returns & Exchange,In stock.,"Thursday, Oct 28"
67,elegante UV Protected Driving Vintage Pilot Gradient Metal Body Square Sunglasses for Men and Women,"2,447 ratings",3.6 out of 5,₹319.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
68,Vincent Chase by Lenskart | Unisex Hexagonal Sunglasses | Polarized & UV Protection | VC S12596/P,600 ratings,4.1 out of 5,₹599.00,10 Days Returns,In stock.,"Monday, Oct 25"
69,elegante UV Protected Trendy Irregular Vintage Rectangular Sunglasses for Men & Women,451 ratings,4.4 out of 5,₹399.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
