,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
277,UNIX User Data,"Text, Sequential",,,,,
279,Volcanoes on Venus - JARtool experiment,Image,Classification,,,,
281,Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14,
283,Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1000,20,1994
285,Statlog (Heart),Multivariate,Classification,"Categorical, Real",270,13,
287,Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435,36,1993
289,Statlog (Image Segmentation),Multivariate,Classification,Real,2310,19,1990
291,Statlog (Shuttle),Multivariate,Classification,Integer,58000,9,
293,Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18,
295,Connectionist Bench (Nettalk Corpus),Multivariate,,Categorical,20008,4,
297,"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60,
299,Connectionist Bench (Vowel Recognition - Deterding Data),,Classification,Real,528,10,
301,Economic Sanctions,Domain-Theory,,,,,
303,Protein Data,,,,,,
305,Cloud,Multivariate,,Real,1024,10,1989
307,CalIt2 Building People Counts,"Multivariate, Time-Series",,"Categorical, Integer",10080,4,2006
309,Dodgers Loop Sensor,"Multivariate, Time-Series",,"Categorical, Integer",50400,3,2006
311,Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010,11,2007
313,MAGIC Gamma Telescope,Multivariate,Classification,Real,19020,11,2007
315,UJI Pen Characters,"Multivariate, Sequential",Classification,Integer,1364,,2007
317,Mammographic Mass,Multivariate,Classification,Integer,961,6,2007
319,Forest Fires,Multivariate,Regression,Real,517,13,2008
321,Reuters Transcribed Subset,Text,Classification,,200,,2008
323,Bag of Words,Text,Clustering,Integer,8000000,100000,2008
325,Concrete Compressive Strength,Multivariate,Regression,Real,1030,9,2007
327,Hill-Valley,Sequential,Classification,Real,606,101,2008
329,Arcene,Multivariate,Classification,Real,900,10000,2008
331,Dexter,Multivariate,Classification,Integer,2600,20000,2008
333,Dorothea,Multivariate,Classification,Integer,1950,100000,2008
335,Gisette,Multivariate,Classification,Integer,13500,5000,2008
337,Madelon,Multivariate,Classification,Real,4400,500,2008
339,Ozone Level Detection,"Multivariate, Sequential, Time-Series",Classification,Real,2536,73,2008
341,Abscisic Acid Signaling Network,Multivariate,Causal-Discovery,Integer,300,43,2008
343,Parkinsons,Multivariate,Classification,Real,197,23,2008
345,Character Trajectories,Time-Series,"Classification, Clustering",Real,2858,3,2008
347,Blood Transfusion Service Center,Multivariate,Classification,Real,748,5,2008
349,UJI Pen Characters (Version 2),"Multivariate, Sequential",Classification,Integer,11640,,2009
351,Semeion Handwritten Digit,Multivariate,Classification,Integer,1593,256,2008
353,SECOM,Multivariate,"Classification, Causal-Discovery",Real,1567,591,2008
355,Plants,Multivariate,Clustering,Categorical,22632,70,2008
357,Libras Movement,"Multivariate, Sequential","Classification, Clustering",Real,360,91,2009
359,Concrete Slump Test,Multivariate,Regression,Real,103,10,2009
361,Communities and Crime,Multivariate,Regression,Real,1994,128,2009
363,Acute Inflammations,Multivariate,Classification,"Categorical, Integer",120,6,2009
365,Wine Quality,Multivariate,"Classification, Regression",Real,4898,12,2009
367,URL Reputation,"Multivariate, Time-Series",Classification,"Integer, Real",2396130,3231961,2009
369,p53 Mutants,Multivariate,Classification,Real,16772,5409,2010
371,Parkinsons Telemonitoring,Multivariate,Regression,"Integer, Real",5875,26,2009
373,Demospongiae,Multivariate,Classification,Integer,503,,2010
375,Opinosis Opinion ⁄ Review,Text,,,51,,2010
377,Breast Tissue,Multivariate,Classification,Real,106,10,2010
379,Cardiotocography,Multivariate,Classification,Real,2126,23,2010
381,Wall-Following Robot Navigation Data,"Multivariate, Sequential",Classification,Real,5456,24,2010
383,Spoken Arabic Digit,"Multivariate, Time-Series",Classification,Real,8800,13,2010
385,Localization Data for Person Activity,"Univariate, Sequential, Time-Series",Classification,Real,164860,8,2010
387,AutoUniv,Multivariate,Classification,"Categorical, Integer, Real",,,2010
389,Steel Plates Faults,Multivariate,Classification,"Integer, Real",1941,27,2010
391,MiniBooNE particle identification,Multivariate,Classification,Real,130065,50,2010
393,YearPredictionMSD,Multivariate,Regression,Real,515345,90,2011
395,PEMS-SF,"Multivariate, Time-Series",Classification,Real,440,138672,2011
397,OpinRank Review Dataset,Text,,,,,2011
399,Relative location of CT slices on axial axis,Domain-Theory,Regression,Real,53500,386,2011
401,Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential",Classification,Integer,8235,,2011
403,PubChem Bioassay Data,Multivariate,Classification,"Integer, Real",,,2011
405,Record Linkage Comparison Patterns,Multivariate,Classification,Real,5749132,12,2011
407,Communities and Crime Unnormalized,Multivariate,Regression,Real,2215,147,2011
409,Vertebral Column,Multivariate,Classification,Real,310,6,2011
411,EMG Physical Action Data Set,Time-Series,Classification,Real,10000,8,2011
413,Vicon Physical Action Data Set,Time-Series,Classification,Real,3000,27,2011
415,Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory",Classification,Real,1500,10000,2011
417,Amazon Access Samples,"Time-Series, Domain-Theory","Regression, Clustering, Causal-Discovery",,30000,20000,2011
419,Reuter_50_50,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,2500,10000,2011
421,Farm Ads,Text,Classification,,4143,54877,2011
423,DBWorld e-mails,Text,Classification,,64,4702,2011
425,KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",53414,24,2011
